"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2009-07-20T17:02:13"	"1248109333"	"The Spirit Is Near"	"3b32e346-6312-4237-a7ce-2b19d590000e"	"Devendra Banhart"	"0110e63e-0a9b-4818-af8e-41e180c20b9a"	"The Spirit Is Near"	"3b32e346-6312-4237-a7ce-2b19d590000e"	"Devendra Banhart"	"0110e63e-0a9b-4818-af8e-41e180c20b9a"
"2009-07-20T17:08:01"	"1248109681"	"Pagan Angel and a Borrowed Car"	"65d7acbe-ab6d-4a52-9c3d-9ffb08d636f9"	"Iron & Wine"	"c3f28da8-662d-4f09-bdc7-3084bf685930"	"Pagan Angel and a Borrowed Car"	"65d7acbe-ab6d-4a52-9c3d-9ffb08d636f9"	"Iron & Wine"	"c3f28da8-662d-4f09-bdc7-3084bf685930"
"2009-07-28T14:57:26"	"1248793046"	"Free Until They Cut Me Down"	"138c3d65-5a3f-41fd-8dda-a01394da65b1"	"Iron & Wine"	"c3f28da8-662d-4f09-bdc7-3084bf685930"	"Free Until They Cut Me Down"	"138c3d65-5a3f-41fd-8dda-a01394da65b1"	"Iron & Wine"	"c3f28da8-662d-4f09-bdc7-3084bf685930"
"2009-08-02T06:57:16"	"1249196236"	"Theghri (I Send An S.O.S.)"	""	"Souad Massi"	""	"Theghri (I Send An S.O.S.)"	""	"Souad Massi"	""
"2009-08-02T17:29:22"	"1249234162"	"La Belle Dame Sans Regrets"	"1d2a3c8d-231f-4c3f-8e7a-eab3816d5aee"	"Sting"	"4edb7c9c-2ce5-4b4d-8527-51268eae946e"	"La Belle Dame Sans Regrets"	"1d2a3c8d-231f-4c3f-8e7a-eab3816d5aee"	"Sting"	"4edb7c9c-2ce5-4b4d-8527-51268eae946e"
"2009-08-30T07:44:03"	"1251618243"	"Adagio molto e cantabile"	"9d20727f-6680-4f1d-83a2-61386aded0aa"	"Ludwig van Beethoven"	"1f9df192-a621-4f54-8850-2c5373b7eac9"	"Adagio molto e cantabile"	"9d20727f-6680-4f1d-83a2-61386aded0aa"	"Ludwig van Beethoven"	"1f9df192-a621-4f54-8850-2c5373b7eac9"
"2012-08-22T15:30:45"	"1345649445"	"Baleora (Main I)"	""	"Claude Monnet"	"5367ef63-3bcd-4319-a617-2633186632c2"	"Baleora (Main I)"	""	"Claude Monnet"	"5367ef63-3bcd-4319-a617-2633186632c2"
