"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"2009-08-02T17:11:29"	"1249233089"	"Kibori (World)"	""	"Mahala Rai Banda"	"21cc597f-1ed6-4a00-b728-4ec0d3b811e3"	"Kibori (World)"	""	"Mahala Rai Banda"	"21cc597f-1ed6-4a00-b728-4ec0d3b811e3"	"Mahala Rai Banda"	""	"Mahala Rai Banda"	"21cc597f-1ed6-4a00-b728-4ec0d3b811e3"
"2009-08-02T17:11:40"	"1249233100"	"Unique Sun, Unique Blood!"	"1ecebff6-d84a-4622-82a7-970465c09a45"	"Municipale Balcanica"	"c20e4c45-0abb-4925-9ab9-e04c83c3edf9"	"Unique Sun, Unique Blood!"	"1ecebff6-d84a-4622-82a7-970465c09a45"	"Municipale Balcanica"	"c20e4c45-0abb-4925-9ab9-e04c83c3edf9"	"Foua"	""	"Municipale Balcanica"	"c20e4c45-0abb-4925-9ab9-e04c83c3edf9"
"2009-08-02T17:12:05"	"1249233125"	"Markov čoček"	"a57cb590-9d4d-4a78-aada-36637c9d3ada"	"Boban Marković Orkestar"	"17b3b9ac-50d2-45a8-9319-1a7ffba14a14"	"Markov Cocek"	""	"Boban Markovic Orkestar"	""	"Srce Cigansko"	""	"Boban Markovic Orkestar"	""
"2009-08-02T17:12:39"	"1249233159"	"Kinderszenen, Op. 15, No. 7, 'Dreaming'"	""	"Robert Schumann"	"3cd3882c-00f8-4362-a0c2-ad89ed248533"	"Kinderszenen, Op. 15, No. 7, 'Dreaming'"	""	"Robert Schumann"	"3cd3882c-00f8-4362-a0c2-ad89ed248533"	"Organ Meditation"	""	"Various Artists"	"023671ff-b1ad-4133-a4f3-aadaaadfd2e0"
"2009-08-02T17:12:43"	"1249233163"	"Symphony No. 9 in E minor; 3rd movement; Scherzo"	""	"Antonín Dvořák"	"0ff72316-6c3b-421f-b929-a0ac6af826ca"	"Symphony No. 9 in E minor; 3rd movement; Scherzo"	""	"Antonín Dvořák"	"0ff72316-6c3b-421f-b929-a0ac6af826ca"	"Symphony no.9 New World"	""	"Antonín Dvořák"	"0ff72316-6c3b-421f-b929-a0ac6af826ca"
"2009-08-02T17:12:48"	"1249233168"	"Looks Just Like the Sun"	"38eaba30-e116-4178-b645-871a7434fd66"	"Broken Social Scene"	"2eada8f8-056a-4093-bbc2-004909ce743b"	"Looks Just Like the Sun"	"38eaba30-e116-4178-b645-871a7434fd66"	"Broken Social Scene"	"2eada8f8-056a-4093-bbc2-004909ce743b"	"You Forgot It In People"	"4a62cd38-0405-33c0-ade2-6be951f7b777"	"Broken Social Scene"	"2eada8f8-056a-4093-bbc2-004909ce743b"
"2009-08-02T17:12:51"	"1249233171"	"Pigalle"	"41d29856-05b0-46dc-9ee5-90b0a83931cf"	"Georges Ulmer"	"836ad164-ec00-4652-89d3-e34353627f63"	"Pigalle"	"41d29856-05b0-46dc-9ee5-90b0a83931cf"	"Georges Ulmer"	"836ad164-ec00-4652-89d3-e34353627f63"	"The Very Best Of The French Chanson II"	""	"Édith Piaf"	"4f8ef4a3-40fa-46b5-8773-97686a8424f4"
"2009-08-02T17:13:00"	"1249233180"	"What's a Girl to Do?"	"ced5b15c-17a6-4acb-bc9f-d86f82439cb0"	"Bat for Lashes"	"10000730-525f-4ed5-aaa8-92888f060f5f"	"What's a Girl to Do?"	"ced5b15c-17a6-4acb-bc9f-d86f82439cb0"	"Bat for Lashes"	"10000730-525f-4ed5-aaa8-92888f060f5f"	"Fur and Gold"	"003ee347-0551-435f-82ba-e1afeff7f636"	"Bat for Lashes"	"10000730-525f-4ed5-aaa8-92888f060f5f"
"2009-08-02T17:13:06"	"1249233186"	"sea of tranquility"	"31e595c7-60f7-44f6-9c98-365026e3c1bb"	"Adem"	"5a217fef-76cb-43f7-95ba-75d0c495783f"	"sea of tranquility"	"31e595c7-60f7-44f6-9c98-365026e3c1bb"	"Adem"	"5a217fef-76cb-43f7-95ba-75d0c495783f"	"Love And Other Planets"	"85326335-3589-41e1-8d1c-e561fd0b9901"	"Adem"	"5a217fef-76cb-43f7-95ba-75d0c495783f"
"2009-08-02T17:13:12"	"1249233192"	"Dear Employee"	"f2c15855-a285-4ab8-b798-b654caad83e9"	"Papercuts"	"3d6e2ff3-6ca1-4d67-a1ae-d056970fcd32"	"Dear Employee"	"f2c15855-a285-4ab8-b798-b654caad83e9"	"Papercuts"	"3d6e2ff3-6ca1-4d67-a1ae-d056970fcd32"	"Can't Go Back"	"1a2da054-b4ef-4dc4-8fe6-4e8cd7318d01"	"Papercuts"	"3d6e2ff3-6ca1-4d67-a1ae-d056970fcd32"
